code_parlimen,state,constituency,registered_voters,voted,turnout_percent,urban_rural_classification
P.001,Perlis,Padang Besar,60192,46059,76.52,SEMI URBAN
P.002,Perlis,Kangar,74859,56989,76.13,SEMI URBAN
P.003,Perlis,Arau,60876,47605,78.2,SEMI URBAN
P.004,Kedah,Langkawi,66777,48123,72.07,SEMI URBAN
P.005,Kedah,Jerlun,67601,52909,78.27,RURAL
P.006,Kedah,Kubang Pasu,108217,84486,78.07,SEMI URBAN
P.007,Kedah,Padang Terap,59806,49341,82.5,RURAL
P.008,Kedah,Pokok Sena,114838,88976,77.48,SEMI URBAN
P.009,Kedah,Alor Setar,105994,77969,73.56,URBAN
P.010,Kedah,Kuala Kedah,132500,101510,76.61,SEMI URBAN
P.011,Kedah,Pendang,94547,76381,80.79,RURAL
P.012,Kedah,Jerai,105001,83294,79.33,SEMI URBAN
P.013,Kedah,Sik,63126,51659,81.83,RURAL
P.014,Kedah,Merbok,132444,103779,78.36,SEMI URBAN
P.015,Kedah,Sungai Petani,168847,131447,77.85,URBAN
P.016,Kedah,Baling,132099,110353,83.54,RURAL
P.017,Kedah,Padang Serai,133867,92302,68.95,SEMI URBAN
P.018,Kedah,Kulim-Bandar Baharu,90141,71440,79.25,SEMI URBAN
P.019,Kelantan,Tumpat,149371,106173,71.08,SEMI URBAN
P.020,Kelantan,Pengkalan Chepa,106982,78659,73.53,URBAN
P.021,Kelantan,Kota Bharu,115450,79028,68.45,URBAN
P.022,Kelantan,Pasir Mas,94544,66145,69.96,SEMI URBAN
P.023,Kelantan,Rantau Panjang,93248,61406,65.85,SEMI URBAN
P.024,Kelantan,Kubang Kerian,113640,82502,72.6,SEMI URBAN
P.025,Kelantan,Bachok,123183,91192,74.03,SEMI URBAN
P.026,Kelantan,Ketereh,85281,64060,75.12,SEMI URBAN
P.027,Kelantan,Tanah Merah,98782,70471,71.34,SEMI URBAN
P.028,Kelantan,Pasir Puteh,113070,82576,73.03,SEMI URBAN
P.029,Kelantan,Machang,88825,66024,74.33,SEMI URBAN
P.030,Kelantan,Jeli,59798,43732,73.13,RURAL
P.031,Kelantan,Kuala Krai,92335,65684,71.14,RURAL
P.032,Kelantan,Gua Musang,70254,49306,70.18,RURAL
P.033,Terengganu,Besut,111650,86487,77.46,SEMI URBAN
P.034,Terengganu,Setiu,107294,86029,80.18,RURAL
P.035,Terengganu,Kuala Nerus,105952,88536,83.56,URBAN
P.036,Terengganu,Kuala Terengganu,123305,97605,79.16,URBAN
P.037,Terengganu,Marang,131756,110250,83.68,SEMI URBAN
P.038,Terengganu,Hulu Terengganu,87917,72905,82.92,RURAL
P.039,Terengganu,Dungun,115559,92128,79.72,SEMI URBAN
P.040,Terengganu,Kemaman,139423,114533,82.15,SEMI URBAN
P.041,Pulau Pinang,Kepala Batas,83081,70150,84.44,SEMI URBAN
P.042,Pulau Pinang,Tasek Gelugor,80868,67790,83.83,SEMI URBAN
P.043,Pulau Pinang,Bagan,89447,69516,77.72,URBAN
P.044,Pulau Pinang,Permatang Pauh,107186,88254,82.34,URBAN
P.045,Pulau Pinang,Bukit Mertajam,120819,93695,77.55,URBAN
P.046,Pulau Pinang,Batu Kawan,88812,69759,78.55,URBAN
P.047,Pulau Pinang,Nibong Tebal,100062,80477,80.43,SEMI URBAN
P.048,Pulau Pinang,Bukit Bendera,92521,63404,68.53,URBAN
P.049,Pulau Pinang,Tanjong,52803,38141,72.23,URBAN
P.050,Pulau Pinang,Jelutong,93989,71753,76.34,URBAN
P.051,Pulau Pinang,Bukit Gelugor,117134,86996,74.27,URBAN
P.052,Pulau Pinang,Bayan Baru,119640,91217,76.24,URBAN
P.053,Pulau Pinang,Balik Pulau,80264,64937,80.9,SEMI URBAN
P.054,Perak,Gerik,47565,35360,74.34,RURAL
P.055,Perak,Lenggong,36950,28190,76.29,RURAL
P.056,Perak,Larut,65719,52764,80.29,RURAL
P.057,Perak,Parit Buntar,68502,53596,78.24,SEMI URBAN
P.058,Perak,Bagan Serai,80293,63519,79.11,SEMI URBAN
P.059,Perak,Bukit Gantang,94253,72738,77.17,SEMI URBAN
P.060,Perak,Taiping,121566,86159,70.87,URBAN
P.061,Perak,Padang Rengas,38686,30316,78.36,SEMI URBAN
P.062,Perak,Sungai Siput,72395,52725,72.83,SEMI URBAN
P.063,Perak,Tambun,160558,126502,78.79,URBAN
P.064,Perak,Ipoh Timor,118178,80845,68.41,URBAN
P.065,Perak,Ipoh Barat,114654,79315,69.18,URBAN
P.066,Perak,Batu Gajah,111896,75938,67.86,URBAN
P.067,Perak,Kuala Kangsar,46985,36232,77.11,SEMI URBAN
P.068,Perak,Beruas,108249,73484,67.88,SEMI URBAN
P.069,Perak,Parit,47915,38173,79.67,SEMI URBAN
P.070,Perak,Kampar,89894,60399,67.19,SEMI URBAN
P.071,Perak,Gopeng,143657,105000,73.09,URBAN
P.072,Perak,Tapah,61946,45537,73.51,RURAL
P.073,Perak,Pasir Salak,74761,58218,77.87,RURAL
P.074,Perak,Lumut,92972,72673,78.17,SEMI URBAN
P.075,Perak,Bagan Datuk,58183,42694,73.38,RURAL
P.076,Perak,Teluk Intan,87222,65137,74.68,URBAN
P.077,Perak,Tanjong Malim,93873,70928,75.56,SEMI URBAN
P.078,Pahang,Cameron Highlands,46020,34189,74.29,SEMI URBAN
P.079,Pahang,Lipis,47124,36343,77.12,RURAL
P.080,Pahang,Raub,75064,57097,76.06,SEMI URBAN
P.081,Pahang,Jerantut,87051,67774,77.86,RURAL
P.082,Pahang,Indera Mahkota,120549,94392,78.3,URBAN
P.083,Pahang,Kuantan,87597,68515,78.22,SEMI URBAN
P.084,Pahang,Paya Besar,79744,62769,78.71,RURAL
P.085,Pahang,Pekan,119443,94618,79.22,SEMI URBAN
P.086,Pahang,Maran,53128,41665,78.42,RURAL
P.087,Pahang,Kuala Krau,60537,48440,80.02,RURAL
P.088,Pahang,Temerloh,106829,83612,78.27,SEMI URBAN
P.089,Pahang,Bentong,87058,67454,77.48,SEMI URBAN
P.090,Pahang,Bera,77669,60507,77.9,RURAL
P.091,Pahang,Rompin,89131,68233,76.55,RURAL
P.092,Selangor,Sabak Bernam,51609,41485,80.38,RURAL
P.093,Selangor,Sungai Besar,64382,51594,80.14,SEMI URBAN
P.094,Selangor,Hulu Selangor,154317,124084,80.41,SEMI URBAN
P.095,Selangor,Tanjong Karang,62194,51872,83.4,RURAL
P.096,Selangor,Kuala Selangor,102951,87685,85.17,SEMI URBAN
P.097,Selangor,Selayang,181539,146369,80.63,URBAN
P.098,Selangor,Gombak,206744,167047,80.8,URBAN
P.099,Selangor,Ampang,133494,105547,79.06,URBAN
P.100,Selangor,Pandan,148730,116476,78.31,URBAN
P.101,Selangor,Hulu Langat,166902,138341,82.89,URBAN
P.102,Selangor,Bangi,303430,246795,81.34,URBAN
P.103,Selangor,Puchong,152861,122437,80.1,URBAN
P.104,Selangor,Subang,230940,179578,77.76,URBAN
P.105,Selangor,Petaling Jaya,195148,148021,75.85,URBAN
P.106,Selangor,Damansara,239103,176625,73.87,URBAN
P.107,Selangor,Sungai Buloh,158090,130846,82.77,URBAN
P.108,Selangor,Shah Alam,165744,137082,82.71,URBAN
P.109,Selangor,Kapar,189369,159700,84.33,URBAN
P.110,Selangor,Klang,208913,165554,79.25,URBAN
P.111,Selangor,Kota Raja,244712,199878,81.68,URBAN
P.112,Selangor,Kuala Langat,148637,125449,84.4,SEMI URBAN
P.113,Selangor,Sepang,168039,139667,83.12,SEMI URBAN
P.114,Wilayah Persekutuan Kuala Lumpur,Kepong,94285,72657,77.06,URBAN
P.115,Wilayah Persekutuan Kuala Lumpur,Batu,113863,87841,77.15,URBAN
P.116,Wilayah Persekutuan Kuala Lumpur,Wangsa Maju,120323,93493,77.7,URBAN
P.117,Wilayah Persekutuan Kuala Lumpur,Segambut,119652,86274,72.1,URBAN
P.118,Wilayah Persekutuan Kuala Lumpur,Setiawangsa,95753,75725,79.08,URBAN
P.119,Wilayah Persekutuan Kuala Lumpur,Titiwangsa,80747,61450,76.1,URBAN
P.120,Wilayah Persekutuan Kuala Lumpur,Bukit Bintang,79782,53247,66.74,URBAN
P.121,Wilayah Persekutuan Kuala Lumpur,Lembah Pantai,101828,77469,76.08,URBAN
P.122,Wilayah Persekutuan Kuala Lumpur,Seputeh,124805,88107,70.6,URBAN
P.123,Wilayah Persekutuan Kuala Lumpur,Cheras,101184,72207,71.36,URBAN
P.124,Wilayah Persekutuan Kuala Lumpur,Bandar Tun Razak,119185,93845,78.74,URBAN
P.125,Wilayah Persekutuan Putrajaya,Putrajaya,42881,36969,86.21,URBAN
P.126,Negeri Sembilan,Jelebu,59561,46008,77.25,RURAL
P.127,Negeri Sembilan,Jempol,95813,72808,75.99,SEMI URBAN
