code_parlimen,state,constituency,winning_party,winning_majority,registered_voters,voted,turnout_percent,id_geo
P.001,Perlis,Padang Besar,PN,12514,60192,46059,76.52,P.001 Padang Besar
P.002,Perlis,Kangar,PN,9192,74859,56989,76.13,P.002 Kangar
P.003,Perlis,Arau,PN,23216,60876,47605,78.2,P.003 Arau
P.004,Kedah,Langkawi,PN,13518,66777,48123,72.07,P.004 Langkawi
P.005,Kedah,Jerlun,PN,20456,67601,52909,78.27,P.005 Jerlun
P.006,Kedah,Kubang Pasu,PN,31584,108217,84486,78.07,P.006 Kubang Pasu
P.007,Kedah,Padang Terap,PN,10959,59806,49341,82.5,P.007 Padang Terap
P.008,Kedah,Pokok Sena,PN,31751,114838,88976,77.48,P.008 Pokok Sena
P.009,Kedah,Alor Setar,PN,9931,105994,77969,73.56,P.009 Alor Setar
P.010,Kedah,Kuala Kedah,PN,28061,132500,101510,76.61,P.010 Kuala Kedah
P.011,Kedah,Pendang,PN,31289,94547,76381,80.79,P.011 Pendang
P.012,Kedah,Jerai,PN,33192,105001,83294,79.33,P.012 Jerai
P.013,Kedah,Sik,PN,21787,63126,51659,81.83,P.013 Sik
P.014,Kedah,Merbok,PN,21019,132444,103779,78.36,P.014 Merbok
P.015,Kedah,Sungai Petani,PH,1115,168847,131447,77.85,P.015 Sungai Petani
P.016,Kedah,Baling,PN,29137,132099,110353,83.54,P.016 Baling
P.017,Kedah,Padang Serai,PN,16260,133867,92302,68.95,P.017 Padang Serai
P.018,Kedah,Kulim-Bandar Baharu,PN,13061,90141,71440,79.25,P.018 Kulim-Bandar Baharu
P.019,Kelantan,Tumpat,PN,34793,149371,106173,71.08,P.019 Tumpat
P.020,Kelantan,Pengkalan Chepa,PN,38270,106982,78659,73.53,P.020 Pengkalan Chepa
P.021,Kelantan,Kota Bharu,PN,22613,115450,79028,68.45,P.021 Kota Bharu
P.022,Kelantan,Pasir Mas,PN,30717,94544,66145,69.96,P.022 Pasir Mas
P.023,Kelantan,Rantau Panjang,PN,20636,93248,61406,65.85,P.023 Rantau Panjang
P.024,Kelantan,Kubang Kerian,PN,40847,113640,82502,72.6,P.024 Kubang Kerian
P.025,Kelantan,Bachok,PN,30163,123183,91192,74.03,P.025 Bachok
P.026,Kelantan,Ketereh,PN,23107,85281,64060,75.12,P.026 Ketereh
P.027,Kelantan,Tanah Merah,PN,44498,98782,70471,71.34,P.027 Tanah Merah
P.028,Kelantan,Pasir Puteh,PN,29120,113070,82576,73.03,P.028 Pasir Puteh
P.029,Kelantan,Machang,PN,10154,88825,66024,74.33,P.029 Machang
P.030,Kelantan,Jeli,PN,12464,59798,43732,73.13,P.030 Jeli
P.031,Kelantan,Kuala Krai,PN,25188,92335,65684,71.14,P.031 Kuala Krai
P.032,Kelantan,Gua Musang,PN,163,70254,49306,70.18,P.032 Gua Musang
P.033,Terengganu,Besut,PN,18666,111650,86487,77.46,P.033 Besut
P.034,Terengganu,Setiu,PN,19032,107294,86029,80.18,P.034 Setiu
P.035,Terengganu,Kuala Nerus,PN,29765,105952,88536,83.56,P.035 Kuala Nerus
P.036,Terengganu,Kuala Terengganu,PN,40907,123305,97605,79.16,P.036 Kuala Terengganu
P.037,Terengganu,Marang,PN,41729,131756,110250,83.68,P.037 Marang
P.038,Terengganu,Hulu Terengganu,PN,15734,87917,72905,82.92,P.038 Hulu Terengganu
P.039,Terengganu,Dungun,PN,34105,115559,92128,79.72,P.039 Dungun
P.040,Terengganu,Kemaman,PN,27179,139423,114533,82.15,P.040 Kemaman
P.041,Pulau Pinang,Kepala Batas,PN,2867,83081,70150,84.44,P.041 Kepala Batas
P.042,Pulau Pinang,Tasek Gelugor,PN,12252,80868,67790,83.83,P.042 Tasek Gelugor
P.043,Pulau Pinang,Bagan,PH,49648,89447,69516,77.72,P.043 Bagan
P.044,Pulau Pinang,Permatang Pauh,PN,5272,107186,88254,82.34,P.044 Permatang Pauh
P.045,Pulau Pinang,Bukit Mertajam,PH,57685,120819,93695,77.55,P.045 Bukit Mertajam
P.046,Pulau Pinang,Batu Kawan,PH,40400,88812,69759,78.55,P.046 Batu Kawan
P.047,Pulau Pinang,Nibong Tebal,PH,16293,100062,80477,80.43,P.047 Nibong Tebal
P.048,Pulau Pinang,Bukit Bendera,PH,42610,92521,63404,68.53,P.048 Bukit Bendera
P.049,Pulau Pinang,Tanjong,PH,28754,52803,38141,72.23,P.049 Tanjong
P.050,Pulau Pinang,Jelutong,PH,38604,93989,71753,76.34,P.050 Jelutong
P.051,Pulau Pinang,Bukit Gelugor,PH,63112,117134,86996,74.27,P.051 Bukit Gelugor
P.052,Pulau Pinang,Bayan Baru,PH,34902,119640,91217,76.24,P.052 Bayan Baru
P.053,Pulau Pinang,Balik Pulau,PH,1582,80264,64937,80.9,P.053 Balik Pulau
P.054,Perak,Gerik,PN,1377,47565,35360,74.34,P.054 Gerik
P.055,Perak,Lenggong,BN,879,36950,28190,76.29,P.055 Lenggong
P.056,Perak,Larut,PN,11598,65719,52764,80.29,P.056 Larut
P.057,Perak,Parit Buntar,PN,5395,68502,53596,78.24,P.057 Parit Buntar
P.058,Perak,Bagan Serai,PN,18551,80293,63519,79.11,P.058 Bagan Serai
P.059,Perak,Bukit Gantang,PN,12756,94253,72738,77.17,P.059 Bukit Gantang
P.060,Perak,Taiping,PH,25529,121566,86159,70.87,P.060 Taiping
P.061,Perak,Padang Rengas,PN,3046,38686,30316,78.36,P.061 Padang Rengas
P.062,Perak,Sungai Siput,PH,1846,72395,52725,72.83,P.062 Sungai Siput
P.063,Perak,Tambun,PH,3716,160558,126502,78.79,P.063 Tambun
P.064,Perak,Ipoh Timor,PH,43888,118178,80845,68.41,P.064 Ipoh Timor
P.065,Perak,Ipoh Barat,PH,56667,114654,79315,69.18,P.065 Ipoh Barat
P.066,Perak,Batu Gajah,PH,53836,111896,75938,67.86,P.066 Batu Gajah
P.067,Perak,Kuala Kangsar,PN,3566,46985,36232,77.11,P.067 Kuala Kangsar
P.068,Perak,Beruas,PH,33971,108249,73484,67.88,P.068 Beruas
P.069,Perak,Parit,PN,2155,47915,38173,79.67,P.069 Parit
P.070,Perak,Kampar,PH,14330,89894,60399,67.19,P.070 Kampar
P.071,Perak,Gopeng,PH,27148,143657,105000,73.09,P.071 Gopeng
P.072,Perak,Tapah,BN,5064,61946,45537,73.51,P.072 Tapah
P.073,Perak,Pasir Salak,PN,5003,74761,58218,77.87,P.073 Pasir Salak
P.074,Perak,Lumut,PN,363,92972,72673,78.17,P.074 Lumut
P.075,Perak,Bagan Datuk,BN,348,58183,42694,73.38,P.075 Bagan Datuk
P.076,Perak,Teluk Intan,PH,15169,87222,65137,74.68,P.076 Teluk Intan
P.077,Perak,Tanjong Malim,PH,3541,93873,70928,75.56,P.077 Tanjong Malim
P.078,Pahang,Cameron Highlands,BN,4544,46020,34189,74.29,P.078 Cameron Highlands
P.079,Pahang,Lipis,BN,6118,47124,36343,77.12,P.079 Lipis
P.080,Pahang,Raub,PH,4357,75064,57097,76.06,P.080 Raub
P.081,Pahang,Jerantut,PN,8092,87051,67774,77.86,P.081 Jerantut
P.082,Pahang,Indera Mahkota,PN,8450,120549,94392,78.3,P.082 Indera Mahkota
P.083,Pahang,Kuantan,PN,2866,87597,68515,78.22,P.083 Kuantan
P.084,Pahang,Paya Besar,BN,1317,79744,62769,78.71,P.084 Paya Besar
P.085,Pahang,Pekan,BN,8949,119443,94618,79.22,P.085 Pekan
P.086,Pahang,Maran,PN,1821,53128,41665,78.42,P.086 Maran
P.087,Pahang,Kuala Krau,PN,1024,60537,48440,80.02,P.087 Kuala Krau
P.088,Pahang,Temerloh,PN,5520,106829,83612,78.27,P.088 Temerloh
P.089,Pahang,Bentong,PH,692,87058,67454,77.48,P.089 Bentong
P.090,Pahang,Bera,BN,16695,77669,60507,77.9,P.090 Bera
P.091,Pahang,Rompin,PN,1438,89131,68233,76.55,P.091 Rompin
P.092,Selangor,Sabak Bernam,PN,5056,51609,41485,80.38,P.092 Sabak Bernam
P.093,Selangor,Sungai Besar,PN,2721,64382,51594,80.14,P.093 Sungai Besar
